181908, 66, 416, 21, 77, 24, 47, 56, 24, 31, 61, 52, 29, 30, 38, 33, 78, 0, 80, 91, 82, 54, 135
129, 268129, 172, 52, 16, 17, 37, 20, 32, 39, 37, 33, 37, 56, 48, 31, 36, 0, 11, 30, 51, 41, 24
212, 234, 254430, 475, 93, 7, 28, 12, 71, 39, 33, 23, 7, 39, 35, 15, 61, 0, 42, 6, 28, 58, 65
32, 86, 686, 167588, 186, 231, 11, 21, 4, 38, 30, 16, 13, 49, 2, 26, 39, 0, 34, 11, 43, 29, 41
140, 22, 41, 27, 277458, 179, 172, 25, 68, 27, 58, 33, 14, 68, 61, 5, 59, 0, 31, 24, 25, 40, 52
8, 32, 17, 76, 403, 270155, 919, 144, 60, 51, 61, 59, 8, 50, 43, 30, 22, 0, 81, 53, 33, 63, 69
115, 39, 55, 23, 72, 71, 398166, 201, 116, 69, 85, 65, 28, 79, 135, 27, 89, 0, 43, 76, 64, 174, 105
132, 52, 24, 91, 87, 37, 689, 323481, 1399, 150, 121, 117, 106, 153, 127, 58, 149, 0, 48, 31, 66, 254, 75
42, 49, 61, 1, 67, 35, 85, 163, 557164, 770, 472, 142, 102, 133, 178, 91, 123, 0, 119, 81, 88, 134, 308
36, 33, 29, 39, 24, 29, 95, 61, 483, 516589, 1018, 320, 135, 191, 115, 103, 191, 0, 98, 123, 102, 101, 169
73, 26, 20, 24, 44, 44, 52, 11, 254, 491, 538551, 484, 250, 236, 215, 131, 127, 0, 199, 231, 116, 65, 205
126, 53, 17, 8, 70, 46, 136, 37, 169, 252, 1219, 679527, 1826, 369, 247, 182, 218, 0, 159, 247, 118, 222, 284
62, 30, 20, 6, 14, 7, 44, 29, 158, 111, 351, 778, 394433, 580, 195, 137, 186, 0, 66, 103, 69, 110, 458
78, 86, 116, 80, 150, 42, 223, 105, 366, 432, 848, 595, 2121, 1189286, 2718, 363, 644, 0, 330, 163, 319, 396, 628
86, 34, 35, 8, 72, 28, 99, 40, 173, 79, 149, 209, 219, 750, 654393, 518, 701, 0, 152, 121, 388, 408, 442
51, 70, 31, 18, 19, 73, 59, 69, 217, 118, 254, 305, 443, 575, 3299, 570425, 1789, 0, 389, 293, 226, 320, 381
80, 64, 81, 23, 125, 25, 159, 73, 147, 133, 183, 293, 347, 455, 1305, 840, 966327, 0, 703, 503, 504, 780, 1381
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
164, 58, 127, 75, 95, 87, 119, 42, 152, 173, 419, 312, 63, 411, 284, 362, 1522, 0, 691875, 1827, 650, 648, 821
100, 42, 43, 24, 48, 45, 128, 20, 87, 150, 310, 389, 210, 248, 235, 275, 808, 0, 1950, 643068, 1059, 1345, 1618
145, 124, 63, 32, 60, 35, 233, 63, 92, 162, 253, 167, 144, 420, 797, 186, 533, 0, 1131, 1786, 891071, 6516, 1721
82, 32, 98, 14, 94, 86, 340, 127, 245, 98, 108, 270, 150, 372, 446, 211, 611, 0, 505, 1785, 4145, 1394777, 8796
41, 18, 64, 50, 72, 100, 74, 24, 255, 168, 333, 275, 512, 520, 539, 210, 752, 0, 466, 697, 643, 4287, 1150368
